date,1983,2011,2023,Median ('91-'20)
10-Apr,25.1,24.2,29.6,13.5
11-Apr,25.3,24.3,29.2,13.4
12-Apr,25.6,24.2,28.6,13.2
13-Apr,26.0,24.1,28.2,13.0
14-Apr,25.9,24.2,28.0,12.8
15-Apr,25.9,24.2,27.9,12.8
16-Apr,26.0,24.1,27.8,12.7
17-Apr,26.0,23.9,27.5,12.4
18-Apr,25.9,23.5,,12.1
19-Apr,25.8,23.4,,11.9
20-Apr,25.7,23.3,,11.6
21-Apr,25.6,23.4,,11.4
22-Apr,25.6,23.4,,11.2
23-Apr,25.5,23.3,,11.0
24-Apr,25.2,23.3,,10.8
25-Apr,25.0,23.5,,10.6
26-Apr,25.0,23.8,,10.4
27-Apr,25.0,24.0,,10.1
28-Apr,25.0,23.9,,9.8
29-Apr,25.1,23.8,,9.5
30-Apr,25.2,24.0,,9.3
1-May,25.6,24.0,,9.0
2-May,25.8,23.9,,8.8
3-May,25.8,23.8,,8.5
4-May,25.8,23.4,,8.1
5-May,25.5,23.1,,7.7
6-May,25.5,22.4,,7.3
7-May,25.5,21.5,,7.0
8-May,25.2,20.5,,6.7
9-May,24.5,19.9,,6.5
10-May,24.3,20.3,,6.2
11-May,24.3,20.3,,6.0
12-May,24.7,20.2,,5.7
13-May,24.8,19.6,,5.4
14-May,24.9,18.7,,5.0
15-May,24.9,18.0,,4.6
16-May,25.0,17.1,,4.3
17-May,25.4,16.7,,4.0
18-May,25.2,16.8,,3.7
19-May,25.4,17.4,,3.4
20-May,25.4,17.8,,3.0
21-May,25.1,17.9,,2.8
22-May,24.5,17.4,,2.6
23-May,23.7,17.0,,2.3
24-May,22.7,16.8,,2.2
25-May,21.7,16.6,,2.0
26-May,20.7,16.0,,1.9
27-May,19.5,15.4,,1.7
28-May,18.4,14.9,,1.5
29-May,17.0,14.8,,1.4
30-May,15.8,14.8,,1.2
31-May,14.7,15.0,,1.1
1-Jun,13.9,14.7,,0.9
2-Jun,13.4,14.2,,0.8
3-Jun,13.0,13.6,,0.7
4-Jun,12.3,13.1,,0.6
5-Jun,11.7,12.4,,0.5
6-Jun,11.1,11.5,,0.4
7-Jun,10.2,10.8,,0.3
8-Jun,9.3,10.2,,0.3
9-Jun,8.6,9.7,,0.2
10-Jun,7.8,9.3,,0.1
11-Jun,7.0,8.8,,0.1
12-Jun,6.4,8.2,,0.1
13-Jun,6.1,7.7,,0.1
14-Jun,5.7,7.3,,0.0
15-Jun,5.3,6.7,,0.0
16-Jun,4.7,6.1,,0.0
17-Jun,4.2,5.7,,0.0
18-Jun,3.6,5.3,,0.0
19-Jun,3.1,4.9,,0.0
20-Jun,2.7,4.7,,0.0
21-Jun,2.4,4.4,,0.0
22-Jun,2.0,4.0,,0.0
23-Jun,1.6,3.6,,0.0
24-Jun,1.3,3.1,,0.0
25-Jun,1.1,2.7,,0.0
26-Jun,0.9,2.4,,0.0
27-Jun,0.7,2.1,,0.0
28-Jun,0.6,1.9,,0.0
29-Jun,0.5,1.6,,0.0
30-Jun,0.4,1.4,,0.0
1-Jul,0.3,1.2,,0.0
2-Jul,0.3,1.0,,0.0
3-Jul,0.2,0.8,,0.0
4-Jul,0.2,0.6,,0.0
5-Jul,0.2,0.5,,0.0
6-Jul,0.1,0.4,,0.0
7-Jul,0.1,0.3,,0.0
8-Jul,0.1,0.2,,0.0
9-Jul,0.1,0.2,,0.0
